,word,sentiment,n,
278,disturb,negative,3,
279,drag,negative,3,
280,dragging,negative,3,
281,dungeon,negative,3,
282,earnest,positive,3,
283,easier,positive,3,
284,elegant,positive,3,
285,faster,positive,3,
286,fidgety,negative,3,
287,fist,negative,3,
288,froze,negative,3,
289,funny,negative,3,
290,hail,positive,3,
291,healthy,positive,3,
292,heaven,positive,3,
293,hum,negative,3,
294,idiotic,negative,3,
295,impudent,negative,3,
296,itching,negative,3,
297,jam,negative,3,
298,joke,negative,3,
299,kindness,positive,3,
300,knock,negative,3,
301,leading,positive,3,
302,likes,positive,3,
303,mistaken,negative,3,
304,moan,negative,3,
305,objections,negative,3,
306,odd,negative,3,
307,patience,positive,3,
308,promised,positive,3,
309,puzzled,negative,3,
310,ragged,negative,3,
311,rascals,negative,3,
312,reforming,positive,3,
313,revival,positive,3,
314,rightful,positive,3,
315,ripped,negative,3,
316,sad,negative,3,
317,sarcastic,negative,3,
318,scrap,negative,3,
319,scratched,negative,3,
320,shiny,positive,3,
321,sinking,negative,3,
322,slap,negative,3,
323,smelt,negative,3,
324,snags,negative,3,
325,sneak,negative,3,
326,sour,negative,3,
327,spite,negative,3,
328,steep,negative,3,
329,stiff,negative,3,
330,strain,negative,3,
331,stumped,negative,3,
332,sublime,positive,3,
333,sucked,negative,3,
334,suffer,negative,3,
335,suffering,negative,3,
336,swelled,negative,3,
337,tangled,negative,3,
338,tiresome,negative,3,
339,troublesome,negative,3,
340,trusting,positive,3,
341,uncomfortable,negative,3,
342,waste,negative,3,
343,wise,positive,3,
344,worn,negative,3,
345,amazing,positive,2,
346,angel,positive,2,
347,astonishment,positive,2,
348,beauty,positive,2,
349,begging,negative,2,
350,betray,negative,2,
351,bitter,negative,2,
352,bondage,negative,2,
353,breaks,negative,2,
354,brute,negative,2,
355,bug,negative,2,
356,cheap,negative,2,
357,cheerful,positive,2,
358,cloud,negative,2,
359,concern,negative,2,
360,convenient,positive,2,
361,courage,positive,2,
362,cure,positive,2,
363,darker,negative,2,
364,darkness,negative,2,
365,deceive,negative,2,
366,decent,positive,2,
367,difficult,negative,2,
368,difficulties,negative,2,
369,disgusted,negative,2,
370,disturbance,negative,2,
371,disturbed,negative,2,
372,dripping,negative,2,
373,drunkard,negative,2,
374,dumped,negative,2,
375,dusty,negative,2,
376,dying,negative,2,
377,eager,positive,2,
378,faint,negative,2,
379,FALSE,negative,2,
380,fans,positive,2,
381,fat,negative,2,
