,word,sentiment,n
301,louder,negative,1
302,lovable,positive,1
303,lying,negative,1
304,mercy,positive,1
305,mischief,negative,1
306,miserably,negative,1
307,misery,negative,1
308,miss,negative,1
309,mistaken,negative,1
310,moan,negative,1
311,mysterious,negative,1
312,nervous,negative,1
313,objections,negative,1
314,odd,negative,1
315,overbearing,negative,1
316,patience,positive,1
317,peaceable,positive,1
318,peaceful,positive,1
319,peculiar,negative,1
320,peeled,negative,1
321,perfect,positive,1
322,pleasure,positive,1
323,pride,positive,1
324,privileged,positive,1
325,protest,negative,1
326,proving,positive,1
327,pure,positive,1
328,quarrel,negative,1
329,raging,negative,1
330,raked,negative,1
331,reasonable,positive,1
332,reasoned,positive,1
333,reform,positive,1
334,remarkable,positive,1
335,remorse,negative,1
336,respect,positive,1
337,richer,positive,1
338,ripped,negative,1
339,risky,negative,1
340,rot,negative,1
341,rough,negative,1
342,runaway,negative,1
343,rusty,negative,1
344,sad,negative,1
345,scare,negative,1
346,selfish,negative,1
347,shady,negative,1
348,shame,negative,1
349,shocked,negative,1
350,sickly,negative,1
351,sink,negative,1
352,slack,negative,1
353,slave,negative,1
354,slow,negative,1
355,sly,negative,1
356,smell,negative,1
357,snarl,negative,1
358,sneaky,negative,1
359,sober,negative,1
360,soothe,positive,1
361,sorrow,negative,1
362,spade,negative,1
363,spirited,positive,1
364,spite,negative,1
365,splendid,positive,1
366,spoil,negative,1
367,steady,positive,1
368,stiff,negative,1
369,stingy,negative,1
370,stormy,negative,1
371,strain,negative,1
372,straining,negative,1
373,strict,negative,1
374,striking,positive,1
375,strong,positive,1
376,stump,negative,1
377,stumped,negative,1
378,suffer,negative,1
379,suspicions,negative,1
380,swift,positive,1
381,tangle,negative,1
382,tangled,negative,1
383,temper,negative,1
384,threaten,negative,1
385,threatening,negative,1
386,tiresome,negative,1
387,top,positive,1
388,tops,positive,1
389,tramp,negative,1
390,trap,negative,1
391,trash,negative,1
392,trick,negative,1
393,trusted,positive,1
394,unpopular,negative,1
395,unusual,negative,1
396,useless,negative,1
397,wild,negative,1
398,won,positive,1
399,wonderful,positive,1
400,worrying,negative,1
