,word,sentiment,n,
276,deserving,positive,1,
277,despair,negative,1,
278,desperate,negative,1,
279,despise,negative,1,
280,dirt,negative,1,
281,disadvantage,negative,1,
282,disappoint,negative,1,
283,disappointment,negative,1,
284,discriminate,negative,1,
285,discrimination,negative,1,
286,dismal,negative,1,
287,dispute,negative,1,
288,dizzy,negative,1,
289,doubtful,negative,1,
290,downhearted,negative,1,
291,dragged,negative,1,
292,drawback,negative,1,
293,dust,negative,1,
294,ease,positive,1,
295,easing,positive,1,
296,encourage,positive,1,
297,enjoyed,positive,1,
298,enjoyment,positive,1,
299,error,negative,1,
300,everlasting,positive,1,
301,fairness,positive,1,
302,famine,negative,1,
303,fancy,positive,1,
304,fans,positive,1,
305,favored,positive,1,
306,fear,negative,1,
307,fiery,positive,1,
308,fist,negative,1,
309,floored,negative,1,
310,foolishness,negative,1,
311,forsake,negative,1,
312,freeze,negative,1,
313,fret,negative,1,
314,fried,negative,1,
315,gabble,negative,1,
316,gain,positive,1,
317,gained,positive,1,
318,gasp,negative,1,
319,gawk,negative,1,
320,gems,positive,1,
321,ghastly,negative,1,
322,gladness,positive,1,
323,glare,negative,1,
324,glib,negative,1,
325,glimmering,positive,1,
326,golden,positive,1,
327,gracious,positive,1,
328,grateful,positive,1,
329,hail,positive,1,
330,hang,negative,1,
331,happier,positive,1,
332,harsh,negative,1,
333,hateful,negative,1,
334,helpless,negative,1,
335,honest,positive,1,
336,humble,positive,1,
337,idiots,negative,1,
338,impatient,negative,1,
339,indifferent,negative,1,
340,indignant,negative,1,
341,instructive,positive,1,
342,insulted,negative,1,
343,insurrection,negative,1,
344,interruptions,negative,1,
345,joke,negative,1,
346,kills,negative,1,
347,lacked,negative,1,
348,lazy,negative,1,
349,lied,negative,1,
350,likes,positive,1,
351,liking,positive,1,
352,lively,positive,1,
353,loud,negative,1,
354,love,positive,1,
355,loved,positive,1,
356,loves,positive,1,
357,maniac,negative,1,
358,misery,negative,1,
359,misunderstanding,negative,1,
360,moan,negative,1,
361,mocked,negative,1,
362,monster,negative,1,
363,mournful,negative,1,
364,neat,positive,1,
365,nicest,positive,1,
366,noisy,negative,1,
367,oasis,positive,1,
368,odd,negative,1,
369,opposition,negative,1,
370,overtook,positive,1,
371,pains,negative,1,
372,pardon,positive,1,
373,peaceable,positive,1,
374,pitiful,negative,1,
375,pity,negative,1,
376,plague,negative,1,
377,pleasant,positive,1,
378,poison,negative,1,
379,precious,positive,1,
380,proper,positive,1,
381,proves,positive,1,
382,rage,negative,1,
383,ragged,negative,1,
384,raked,negative,1,
385,rascal,negative,1,
386,rascals,negative,1,
387,reasonable,positive,1,
388,reasoned,positive,1,
389,recommended,positive,1,
390,recover,positive,1,
391,respect,positive,1,
392,revengeful,negative,1,
393,revival,positive,1,
394,rightly,positive,1,
395,risk,negative,1,
396,rocky,negative,1,
397,roomy,positive,1,
398,rough,negative,1,
399,ruffle,negative,1,
400,sack,negative,1,
401,sap,negative,1,
402,sass,negative,1,
403,satisfy,positive,1,
404,savages,negative,1,
405,scar,negative,1,
406,scarcely,negative,1,
407,scoff,negative,1,
408,scolding,negative,1,
409,scornful,negative,1,
410,shady,negative,1,
411,shake,negative,1,
412,shaky,negative,1,
413,shame,negative,1,
414,shimmer,negative,1,
415,shiver,negative,1,
416,shriek,negative,1,
417,shun,negative,1,
418,sickening,negative,1,
419,sickness,negative,1,
420,silent,positive,1,
421,silly,negative,1,
422,simplest,positive,1,
423,sinful,negative,1,
424,slump,negative,1,
425,smile,positive,1,
426,sneak,negative,1,
427,softer,positive,1,
428,sore,negative,1,
429,sorrow,negative,1,
